id,sampled,region,elevation,site,horizon,date,time,cbh,latitude,longitude,elevation,env conditions,comments,soil_temp,soil_moisture,light,air_temp,soil_ph,Soil Location 1 Average Soil Temp,Soil Measurement Location 1 replicate 1: Soil Temperature (SMLST1.1),SMLST1.2,SMLST1.3,Soil Location 1 Average Soil Moisture (%),Soil Measurement Location 1 replicate 1: Soil Moisture (SMLSM1.1),SMLSM1.2,SMLSM1.3,Soil Location 1 Average Light,Soil Measurement Location 1 replicate 1: Light (SMLL1.1)- (kLX),SMLL1.2,SMLL1.3,Soil Location 1 Average Air Temp,Soil Measurement Location 1 replicate 1: Air Temperature (SMLAT1.1),SMLAT1.2,SMLAT1.3,Soil Location 1 Average Soil pH,Soil Measurement Location 1 replicate 1: pH (SMLpH1.1),SMLpH1.2,SMLpH1.3,Soil Location 2 Average Soil Temp,Soil Measurement Location 2 replicate 1: Soil Temperature (SMLST2.1),SMLST2.2,SMLST2.3,Soil Location 2 Average Soil Moisture,Soil Measurement Location 2 replicate 1: Soil Moisture (SMLSM2.1),SMLSM2.2,SMLSM2.3,Soil Location 2 Average Light,Soil Measurement Location 2 replicate 1: Light (SMLL2.1)- (kLX),SMLL2.2,SMLL2.3,Soil Location 2 Average Air Temp,Soil Measurement Location 2 replicate 1: Air Temperature (SMLAT2.1),SMLAT2.2,SMLAT2.3,Soil Location 2 Average Soil pH,Soil Measurement Location 2 replicate 1: pH (SMLpH2.1),SMLpH2.2,SMLpH2.3,Soil Location 3 Average Soil Temp,Soil Measurement Location 3 replicate 1: Soil Temperature (SMLST3.1),SMLST3.2,SMLST3.3,Soil Location 3 Average Soil Moisture,Soil Measurement Location 3 replicate 1: Soil Moisture (SMLSM3.1),SMLSM3.2,SMLSM3.3,Soil Location 3 Average Light,Soil Measurement Location 3 replicate 1: Light (SMLL3.1)- (kLX),SMLL3.2,SMLL3.3,Soil Location 3 Average Air Temp,Soil Measurement Location 3 replicate 1: Air Temperature (SMLAT3.1),SMLAT3.2,SMLAT3.3,Soil Location 3 Average Soil pH,Soil Measurement Location 3 replicate 1: pH (SMLpH3.1),SMLpH3.2,SMLpH3.3,Stand Density (w/in 10m),North (N),Northeast (NE),East (E),Southeast (SE),South (S),Southwest (SW),West (W),Northwest (NW),Average Stand Composition,North (N),Northeast (NE),East (E),Southeast (SE),South (S),Southwest (SW),West (W),Northwest (NW),,,,,,,,,,,,,,
SW-LP-High-01-O,Lodgepole Pine,SW,High,1,O,7/3/25,1854,56,42.618611,-109.127222,9660,,Fresh Rain from past 2 days,55.86666667,6.555555556,883.7777778,48.7,5.744444444,55.03333333,54.7,55.2,55.2,8.666666667,8,9,9,666,588,802,608,48.7,48.7,48.7,48.7,5.566666667,5.4,5.7,5.6,55.83333333,55.2,55.3,57,7.666666667,7,9,7,852,779,805,972,48.7,48.7,48.7,48.7,5.833333333,5.7,5.8,6,56.73333333,56.7,56.8,56.7,3.333333333,3,6,1,1133.333333,1200,1200,1000,48.7,48.7,48.7,48.7,5.833333333,5.8,5.9,5.8,29,0,0,3,3,6,3,7,7,,,,,,,,,,,,,,,,,,,,,,,
SW-LP-High-02-O,Lodgepole Pine,SW,High,2,O,7/4/25,1118,83,42.619444,-109.128333,9610,Partly Cloudy,Steep Slope,71.88888889,6.222222222,20266.66667,66.37777778,5.455555556,68.33333333,68,68,69,6,5,6,7,6466.666667,6700,6200,6500,63.9,63.9,63.9,63.9,5.366666667,5.1,5.4,5.6,71.33333333,70,71,73,8,8,8,8,38300,16000,27700,71200,71.33333333,70,71,73,5.233333333,5,5.2,5.5,76,75,76,77,4.666666667,2,7,5,16033.33333,29400,7900,10800,63.9,63.9,63.9,63.9,5.766666667,5.6,5.8,5.9,58,5,2,8,16,9,5,1,12,,,,,,,,,,,,,,,,,,,,,,,
SW-LP-High-03-O,Lodgepole Pine,SW,High,3,O,7/4/25,1230,65,42.61889,-109.1275,9630,Overcast,"Growing on almost no soil, just granite outcrops",72.66666667,2.222222222,16722.22222,70.5,5.477777778,71.33333333,71,71,72,0.666666667,0,2,0,7733.333333,7000,7800,8400,70.5,70.5,70.5,70.5,5.266666667,5.1,5.6,5.1,72.33333333,72,72,73,3.666666667,5,3,3,10000,8700,8800,12500,70.5,70.5,70.5,70.5,5.533333333,5.6,5.4,5.6,74.33333333,74,74,75,2.333333333,1,1,5,32433.33333,71800,12200,13300,70.5,70.5,70.5,70.5,5.633333333,4.9,6,6,19,2,2,2,3,1,0,6,3,,,,,,,,,,,,,,,,,,,,,,,
SW-ASP-Low-03-O,Aspen,SW,Low,3,O,7/8/25,1026,71,42.557731,-109.196422,8167,,,56.12222222,31.22222222,45344.44444,79.7,7.422222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,7.666666667,7.6,7.7,7.7,44,6,7,8,0,6,6,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
