id,sampled,region,elevation,site,horizon,date,time,cbh,latitude,longitude,elevation,env conditions,comments,soil_temp,soil_moisture,light,air_temp,soil_ph,Soil Location 1 Average Soil Temp,Soil Measurement Location 1 replicate 1: Soil Temperature (SMLST1.1),SMLST1.2,SMLST1.3,Soil Location 1 Average Soil Moisture (%),Soil Measurement Location 1 replicate 1: Soil Moisture (SMLSM1.1),SMLSM1.2,SMLSM1.3,Soil Location 1 Average Light,Soil Measurement Location 1 replicate 1: Light (SMLL1.1)- (kLX),SMLL1.2,SMLL1.3,Soil Location 1 Average Air Temp,Soil Measurement Location 1 replicate 1: Air Temperature (SMLAT1.1),SMLAT1.2,SMLAT1.3,Soil Location 1 Average Soil pH,Soil Measurement Location 1 replicate 1: pH (SMLpH1.1),SMLpH1.2,SMLpH1.3,Soil Location 2 Average Soil Temp,Soil Measurement Location 2 replicate 1: Soil Temperature (SMLST2.1),SMLST2.2,SMLST2.3,Soil Location 2 Average Soil Moisture,Soil Measurement Location 2 replicate 1: Soil Moisture (SMLSM2.1),SMLSM2.2,SMLSM2.3,Soil Location 2 Average Light,Soil Measurement Location 2 replicate 1: Light (SMLL2.1)- (kLX),SMLL2.2,SMLL2.3,Soil Location 2 Average Air Temp,Soil Measurement Location 2 replicate 1: Air Temperature (SMLAT2.1),SMLAT2.2,SMLAT2.3,Soil Location 2 Average Soil pH,Soil Measurement Location 2 replicate 1: pH (SMLpH2.1),SMLpH2.2,SMLpH2.3,Soil Location 3 Average Soil Temp,Soil Measurement Location 3 replicate 1: Soil Temperature (SMLST3.1),SMLST3.2,SMLST3.3,Soil Location 3 Average Soil Moisture,Soil Measurement Location 3 replicate 1: Soil Moisture (SMLSM3.1),SMLSM3.2,SMLSM3.3,Soil Location 3 Average Light,Soil Measurement Location 3 replicate 1: Light (SMLL3.1)- (kLX),SMLL3.2,SMLL3.3,Soil Location 3 Average Air Temp,Soil Measurement Location 3 replicate 1: Air Temperature (SMLAT3.1),SMLAT3.2,SMLAT3.3,Soil Location 3 Average Soil pH,Soil Measurement Location 3 replicate 1: pH (SMLpH3.1),SMLpH3.2,SMLpH3.3,Stand Density (w/in 10m),North (N),Northeast (NE),East (E),Southeast (SE),South (S),Southwest (SW),West (W),Northwest (NW),Average Stand Composition,North (N),Northeast (NE),East (E),Southeast (SE),South (S),Southwest (SW),West (W),Northwest (NW)
WC-ASP-01-24,Aspen,WC,,1,,9/1/24,1555,117,42.951944,-109.767778,8130,"Warm, sunny, limited cloud cover",,58.72222222,3.333333333,32.3,87.66666667,5.633333333,58.1,58.1,58.1,58.1,8,9,7,8,15.4,15.4,15.4,15.4,84.2,84.2,84.2,84.2,5.466666667,5.3,5.6,5.5,57.56666667,57.2,56.7,58.8,1,2,1,0,64,61.8,64.3,65.9,93.2,93.2,93.2,93.2,5.5,5.5,5.3,5.7,60.5,61.3,59.2,61,1,1,1,1,17.5,17.1,18.9,16.5,85.6,85.6,85.6,85.6,5.933333333,5.8,5.9,6.1,9.75,4,10,10,17,3,15,11,8,,4 Aspen,"10 Small Aspen, 1 small sage brush","10 small aspen, 1 cedar",,3 small aspen,"15 small aspen, 3 sage brush","3 medium aspen, 8 small aspen","5 small aspen, 3 sage brush"
WC-ASP-02-24,Aspen,WC,,2,,9/1/24,1705,82.5,42.953889,-109.764722,8250,"Sunny, warm, little to no cloud cover",,60.27777778,0.444444444,33.94444444,91.24444444,6.388888889,62,62.8,61.5,61.7,0.666666667,2,0,0,19.1,34,11.3,12,87.5,87.5,87.5,87.5,6.133333333,6,6.2,6.2,62.36666667,63,60.1,64,0,0,0,0,60.83333333,55.8,63.9,62.8,92.33333333,92.3,92.4,92.3,6.166666667,5.7,6.3,6.5,56.46666667,57.7,56.5,55.2,0.666666667,1,0,1,21.9,8.7,23.7,33.3,93.9,93.9,93.9,93.9,6.866666667,6.5,7.4,6.7,2.75,3,1,1,5,4,1,4,3,,3 small aspen,1 small aspen,1 large LP,"1 small LP, 2 med LP, 1 lg LP","1 small aspen, 1 small LP, 1 med LP, 1 lg LP",1 lg LP,"3 small LP, 1 lg LP","2 lg LP, 1 med LP"
WC-ASP-03-24,Aspen,WC,,3,,9/1/24,1748,103,42.954167,-109.766111,8220,"Warm, windy",,56.22222222,2.777777778,2.311111111,77.26666667,5.511111111,56.46666667,56.1,57.9,55.4,3.333333333,0,5,5,2.533333333,2.8,2.6,2.2,77.8,77.8,77.8,77.8,5.533333333,5.8,5.2,5.6,55.16666667,55.4,54.9,55.2,4,7,2,3,2.733333333,3.5,2.2,2.5,78.3,78.3,78.3,78.3,5.8,5.7,5.7,6,57.03333333,57.1,57,57,1,0,3,0,1.666666667,1.6,1.5,1.9,75.7,75.7,75.7,75.7,5.2,5.2,5.4,5,5.375,6,4,9,2,5,7,6,4,,"1 small aspen, 1 small LP, 1 med LP, 1 lg LP, 2 med aspen","1 lg aspen, 3 lg LP","4 small LP, 4 small aspen, 1 lg aspen",2 small aspen,"1 lg LP, 1 small LP, 1 med LP, 2 small aspen","2 small LP, 1 lg LP, 2 med aspen, 2 small aspen","1 lg LP, 1 lg LP, 2 med aspen, 2 small aspen","2 med LP, 2 lg LP"
WC-LP-01-24,Lodgepole Pine,WC,,1,,8/13/24,1203,76,42.95224,-109.76543,8228.748,"Overcast, slight rain and thunder",Recently cuts stumps nearby,55.94444444,2.444444444,28.86666667,68.12222222,6.155555556,54.96666667,55,54.9,55,2.333333333,2,2,3,11.33333333,11.2,11.6,11.2,63.03333333,63,63,63.1,6.366666667,5.7,6.7,6.7,56.93333333,57,57,56.8,3,3,2,4,30.56666667,12.3,16.3,63.1,69.1,67.3,69.1,70.9,5.5,6.1,5.2,5.2,55.93333333,56.3,55.4,56.1,2,1,2,3,44.7,16.4,46.2,71.5,72.23333333,64.8,67.3,84.6,6.6,6.4,7,6.4,5,2,4,3,14,7,6,0,4,,"1 lg LP, 1 small LP","1 med LP, 3 small LP","1 small aspen, 2 lg LP",14 small Aspen,"5 lg LP, 1 small LP, 1 small Aspen","4 small Aspen, 2 small LP",0,4 small LP
WC-LP-02-24,Lodgepole Pine,WC,,2,,8/13/24,1305,111,42.95268,-109.76524,8232.029,Mostly cloudy,"Reccently logged/cut nearby, burn piles",57.17777778,3.666666667,51.22222222,77.28888889,6.033333333,57.9,58.3,57.7,57.7,4,5,3,4,65.56666667,70.8,63.4,62.5,87.06666667,88.9,84.7,87.6,5.566666667,5.6,5.5,5.6,56.43333333,56.7,56.3,56.3,4,4,4,4,25.6,25.1,26,25.7,68.73333333,66.9,69.3,70,6.433333333,6.6,6.6,6.1,57.2,57.2,57.2,57.2,3,2,4,3,62.5,61.2,63.1,63.2,76.06666667,76.6,75.9,75.7,6.1,6.1,5.8,6.4,1.625,3,1,1,0,1,3,2,2,,3 small LP,1 small LP,1 med LP,0,1 lg LP,3 small LP,"1 small Aspen, 1 lg LP",2 small LP
WC-LP-03-24,Lodgepole Pine,WC,,3,,8/13/24,1405,124,42.95322,-109.76524,8228.748,Partly cloudy,"Recently cuts stumps nearby, burn piles",59.86666667,2.444444444,57,85.34444444,5.755555556,60,60.4,59.9,59.7,1.333333333,1,2,1,73.6,71.6,78.5,70.7,97.6,98.4,97.2,97.2,5.766666667,5.7,5.8,5.8,59.83333333,60.1,59.7,59.7,3.666666667,4,3,4,65.76666667,64,69,64.3,88.8,88.3,88.7,89.4,5.3,5,5.5,5.4,59.76666667,60.4,59.5,59.4,2.333333333,3,2,2,31.63333333,16.7,20.2,58,69.63333333,59.4,69.1,80.4,6.2,6.1,6.3,6.2,5.5,2,5,5,4,6,7,7,8,,2 small LP,"2 med LP, 3 small LP",5 small LP,4 small LP,"5 small LP, 1 med LP","6 small LP, 1 med LP",7 small LP,"2 med LP, 6 small LP"
WC-ASP-01-24,Aspen,WC,,1,,8/12/24,1615,76,42.95337,-109.76424,8274.682,Mostly cloudy,Samples tossed-Recently cut/ burn piles- WASPS,62.47777778,6.444444444,10.21111111,67.15555556,6.611111111,63.2,63,63.5,63.1,7.333333333,8,3,11,8.733333333,6.8,9.9,9.5,65.9,64,66.6,67.1,6.5,6.3,6.6,6.6,62.36666667,62.1,62.2,62.8,4,5,3,4,9.9,11.8,10.4,7.5,67.73333333,67.5,67.5,68.2,6.566666667,6.2,6.8,6.7,61.86666667,62.6,62.2,60.8,8,8,9,7,12,13.9,11.2,10.9,67.83333333,68.4,68.4,66.7,6.766666667,6.3,7,7,4.5,6,5,3,5,3,2,2,10,,"1 small WBP, 5 small Asp","3 small Asp, 2 lg Asp","1 med Asp, 2 small Asp",5 small Asp,3 small Asp,"1 lg Asp, 1 lg Fir","1 lg LP, 1 small Asp",10 small Asp
WC-ASP-02-24,Aspen,WC,,2,,8/12/24,1711,81,42.95345,-109.7658,8225.467,Overcast- windy,Samples tossed-Recently cut/ burn piles- WASPS,61.48888889,7.222222222,1.155555556,63.83333333,6.411111111,61.96666667,62.1,61.9,61.9,4.666666667,2,3,9,1.4,1.4,1.4,1.4,66.2,66.2,66.2,66.2,6.066666667,6,6.1,6.1,61.5,61.7,61.5,61.3,8.666666667,8,9,9,1.166666667,1.2,1.2,1.1,62.46666667,62.4,62.6,62.4,6.466666667,6.6,6.3,6.5,61,61,61,61,8.333333333,9,8,8,0.9,1,1.2,0.5,62.83333333,62.6,62.8,63.1,6.7,6.8,6.7,6.6,9.5,14,10,12,11,13,7,3,6,,"10 small Asp, 2 small LP, 2 small WBP","4 small Asp, 2 lg Asp, 4 small LP","1 lg LP, 1 med LP, 1 small LP, 5 small Asp, 4 med Asp","3 lg LP, 1 med LP, 2 small LP, 5 small Asp","1 small WBP, 5 small LP, 7 small Asp","5 small Asp, 2 small LP","2 med LP, 1 small Asp","4 lg LP, 2 small LP"
WC-ASP-03-24,Aspen,WC,,3,,8/12/24,1805,71,42.952,-109.76735,11493.343,Overcast- windy,Samples tossed-Recently cut/ burn piles- WASPS,63.06666667,6.111111111,3.922222222,61.94444444,6.911111111,63.43333333,63.5,63.5,63.3,4,4,3,5,1.566666667,1.9,1.3,1.5,63.56666667,63.9,63.5,63.3,6.766666667,6.3,7,7,62.76666667,63.5,62.6,62.2,6.333333333,3,9,7,2.2,2.2,2.2,2.2,61.3,61.3,61.3,61.3,6.866666667,6.4,6.9,7.3,63,63,63,63,8,6,9,9,8,6,9,9,60.96666667,60.8,60.8,61.3,7.1,6.8,7.1,7.4,3.25,5,2,1,4,4,3,4,3,,"3 lg LP, 2 med LP","1 lg LP, 1 small Asp",1 small Asp,4 small Asp,"1 lg LP, 3 small Asp",3 small Asp,4 small Asp,"1 small WBP, 1 small LP, 1 small Asp"
NW-LP-01-24,Lodgepole Pine,NW,,1,,7/24/24,1203,36,43.26357,-109.49674,9189,"Sunny, still, clear skies",Small tree,77,0.666666667,68.83333333,101,4.966666667,77,77,77,77,0.666666667,1,0,1,68.83333333,68.8,74.8,62.9,101,92,97,114,4.966666667,5,4.8,5.1,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,1.125,0,3,3,0,2,0,0,1,,0,3 med WBP,3 med WBP,0,2 small LP,0,0,1 lg WBP
